City name,Airport Code,Airport Name,Country name
Omora,OSE,Omora International Airport,Papua New Guinea
Omsk,OMS,Omsk International Airport,Russian Federation
Omura,OMJ,Omura International Airport,Japan
Oneill,ONL,Municipal International Airport,United States
Oneonta,ONH,Municipal International Airport,United States
Onepusu,ONE,Onepusu International Airport,Solomon Islands
Ongiva,VPE,Ongiva International Airport,Angola
Onion Bay,ONN,Onion Bay International Airport,United States
Ono I Lau,ONU,Ono I Lau International Airport,Fiji
Ononge,ONB,Ononge International Airport,Papua New Guinea
Onotoa,OOT,Onotoa International Airport,Kiribati
Onslow,ONS,Onslow International Airport,Australia
Ontario,ONO,Ontario International Airport,United States
Ontong Java,OTV,Ontong Java International Airport,Solomon Islands
Oodnadatta,ODD,Oodnadatta International Airport,Australia
Opapamiska Lake,YBS,Musselwhite International Airport,Canada
Opelousas,OPL,St Landry Parish International Airport,United States
Open Bay,OPB,Open Bay International Airport,Papua New Guinea
Oqatsut,XEO,Harbour International Airport,Greenland
Oradea,OMR,Oradea International Airport,Romania
Oram,RAX,Oram International Airport,Papua New Guinea
Oran,ORN,Es Senia International Airport,Algeria
Oran,TAF,Tafaraoui International Airport,Algeria
Oran,ORA,Oran International Airport,Argentina
Orange,OAG,Springhill International Airport,Australia
Orange Walk,ORZ,Orange Walk International Airport,Belize
Orangeburg,OGB,Municipal International Airport,United States
Orapa,ORP,Orapa International Airport,Botswana
Orbost,RBS,Orbost International Airport,Australia
Orchid Beach,OKB,Fraser Island International Airport,Australia
Orchid Island,KYD,Orchid Island International Airport,Taiwan
Ord River,ODR,Ord River International Airport,Australia
Orebro,ORB,Orebro-bofors International Airport,Sweden
Orel,OEL,Orel International Airport,Russian Federation
Orenburg,REN,Orenburg International Airport,Russian Federation
Oria,OTY,Oria International Airport,Papua New Guinea
Orientos,OXO,Orientos International Airport,Australia
Orinduik,ORJ,Orinduik International Airport,Guyana
Oriximina,ORX,Oriximina International Airport,Brazil
Orkney Island,KOI,Orkney Island International Airport,United Kingdom
Orland,OLA,Orland International Airport,Norway
Orlando,ORL,Orlando Executive International Airport,United States
Orlando,SFB,Orlando Sanford Intl,United States
Orlando,DWS,Walt Disney World International Airport,United States
Orleans,ORE,Orleans International Airport,France
Ormara,ORW,Ormara International Airport,Pakistan
Ormoc,OMC,Ormoc International Airport,Philippines
Ornskoldsvik,OER,Ornskoldsvik International Airport,Sweden
Orocue,ORC,Orocue International Airport,Colombia
Oroville,OVE,Oroville International Airport,United States
Orpheus Island Resort,ORS,Waterport International Airport,Australia
Orsk,OSW,Orsk International Airport,Russian Federation
Orsta-Volda,HOV,Hovden International Airport,Norway
Oruro,ORU,Oruro International Airport,Bolivia
Osage Beach,OSB,Osage Beach International Airport,United States
Osaka,ITM,Itami International Airport,Japan
Osaka,KIX,Kansai International,Japan
Osan,OSN,Ab International Airport,Korea (South)
Osceola,OEO,Municipal International Airport,United States
Oscoda,OSC,Wurtsmith AFB International Airport,United States
Osh,OSS,Osh International Airport,Kyrgyzstan
Oshawa,YOO,Oshawa International Airport,Canada
Oshima,OIM,Oshima International Airport,Japan
Oshkosh,OKS,Oshkosh International Airport,United States
Oshkosh,OSH,Wittman Field International Airport,United States
Osijek,OSI,Osijek International Airport,Croatia (Hrvatska)
Oskaloosa,OOA,Municipal International Airport,United States
Oskarshamn,OSK,Oskarshamn International Airport,Sweden
Oslo,OSL,"Oslo Airport, Gardermoen International Airport",Norway
Oslo,XZO,Oslo Central Station International Airport,Norway
Oslo,TRF,Sandefjord International Airport,Norway
Osmanabad,OMN,Osmanabad International Airport,India
Osorno,ZOS,Canal Balo International Airport,Chile
Ossima,OSG,Ossima International Airport,Papua New Guinea
Ostend,OST,Railway International Airport,Belgium
Ostersund,OSD,Froesoe International Airport,Sweden
Ostrava,OSR,Mosnov International Airport,Czech Republic (former Czechoslovakia)
Ottawa,ZIF,Fallowfield Railway International Airport,Canada
Ottawa,YND,Executive Gatineau-Ottawa International Airport,Canada
Ottawa,YOW,Ottawa International,Canada
Ottawa,YRO,Rockcliffe St International Airport,Canada
Otto,OTO,Vor International Airport,United States
Ottumwa,OTM,Industrial International Airport,United States
Otu,OTU,Otu International Airport,Colombia
